EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction
1,John Smith,62506,Production Technician I,MA,07-10-1983,M ,Single,07-05-2011,NULL,Active,Production       ,LinkedIn,Exceeds,4.6,5
2,Sarah Johnson,104437,Sr. DBA,MA,05-05-1975,M ,Married,03-03-2015,06-06-2016,Voluntarily Terminated,IT/IS,Indeed,Fully Meets,4.96,3
3,Michael Williams,64955,Production Technician II,MA,09-09-1988,F,Married,07-05-2011,09-04-2012,Voluntarily Terminated,Production       ,LinkedIn,Fully Meets,3.02,3
4,Emily Brown,64991,Production Technician I,MA,09-07-1988,F,Married,01-07-2008,NULL,Active,Production       ,Indeed,Fully Meets,4.84,5
5,David Jones,50825,Production Technician I,MA,09-08-1989,F,Divorced,07-11-2011,09-06-2016,Voluntarily Terminated,Production       ,Google Search,Fully Meets,5,4
6,Jessica Davis,57568,Production Technician I,MA,05-02-1977,F,Single,01-09-2012,NULL,Active,Production       ,LinkedIn,Exceeds,5,5
7,Christopher Miller,95660,Software Engineer,MA,05-04-1979,F,Single,11-10-2014,NULL,Active,Engineering,LinkedIn,Fully Meets,3.04,3
8,Ashley Wilson,59365,Production Technician I,MA,02-08-1983,M ,Widowed,09-03-2013,NULL,Active,Production       ,Employee Referral,Fully Meets,5,4
9,Matthew Anderson,47837,Production Technician I,MA,02-11-1970,F,Single,07-06-2009,NULL,Active,Production       ,Diversity Job Fair,Fully Meets,4.46,3
10,Samantha Taylor,50178,IT Support,MA,01-07-1988,M ,Divorced,01-05-2015,NULL,Active,IT/IS,Indeed,Fully Meets,5,5
11,Daniel Martinez,54670,Production Technician I,MA,01-12-1974,F,Married,01-10-2011,01-12-2017,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.2,4
12,Lauren Thomas,47211,Production Technician I,MA,02-01-1974,M ,Married,04-02-2012,09-09-2016,Voluntarily Terminated,Production       ,Diversity Job Fair,Fully Meets,4.2,3
13,Andrew Jackson,92328,Data Analyst,TX,07-04-1988,M ,Divorced,11-10-2014,NULL,Active,IT/IS,Diversity Job Fair,Exceeds,4.28,4
14,Elizabeth Thompson,58709,Production Technician I,MA,07-02-1983,M ,Single,02-02-2012,NULL,Active,Production       ,Google Search,Fully Meets,4.6,4
15,Ryan Lee,52505,Production Technician I,MA,07-05-1977,M ,Divorced,09-04-2012,04-06-2017,Voluntarily Terminated,Production       ,On-line Web application,Fully Meets,5,5
16,Olivia Davis,57834,Production Technician I,MA,10-08-1981,M ,Single,02-01-2011,08-04-2017,Terminated for Cause,Production       ,Google Search,Fully Meets,5,4
17,James Taylor,70131,Production Technician II,MA,04-07-1966,F,Married,07-01-2016,NULL,Active,Production       ,Employee Referral,Exceeds,4.4,3
18,Amanda White,59026,Production Technician I,MA,10-07-1970,F,Single,04-04-2011,NULL,Active,Production       ,Google Search,Fully Meets,5,5
19,Joshua Anderson,110000,Database Administrator,MA,04-04-1986,F,Single,07-07-2014,09-12-2015,Terminated for Cause,IT/IS,Google Search,Fully Meets,4.5,4
20,Stephanie Martinez,53250,Production Technician I,MA,04-06-1979,M ,Single,07-08-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,4.2,4
21,Robert Davis,51044,Production Technician I,MA,12-02-1970,M ,Single,04-02-2012,NULL,Active,Production       ,Google Search,Fully Meets,5,3
22,Megan Thompson,64919,Production Technician I,MA,12-07-1958,F,Divorced,08-09-2013,NULL,Active,Production       ,Indeed,Fully Meets,4.2,3
23,William Johnson,62910,Production Technician I,MA,09-01-1989,F,Married,07-07-2014,NULL,Active,Production       ,Indeed,Exceeds,5,3
24,Emily Wilson,66441,Production Technician II,MA,09-01-1990,F,Single,04-04-2011,NULL,Active,Production       ,CareerBuilder,Needs Improvement,2,3
25,Benjamin Clark,57815,Production Technician II,MA,01-06-1967,F,Single,01-10-2011,04-04-2014,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.8,5
26,Nicole Lewis,103613,Enterprise Architect,CT,07-03-1964,M ,Single,02-07-2014,02-09-2016,Terminated for Cause,IT/IS,LinkedIn,Fully Meets,3.5,5
27,Joseph Miller,106367,Sr. Accountant,MA,04-04-1987,F,Married,02-06-2015,NULL,Active,Admin Offices,Diversity Job Fair,Fully Meets,5,4
28,Kimberly Anderson,74312,Production Manager,MA,03-10-1970,M ,Single,09-03-2013,08-07-2014,Voluntarily Terminated,Production       ,Indeed,Fully Meets,3.39,3
29,David Wilson,53492,Production Technician I,MA,08-04-1990,F,Married,04-02-2012,06-05-2013,Voluntarily Terminated,Production       ,Google Search,Fully Meets,3.35,4
30,Michelle Moore,63000,Accountant I,MA,11-04-1987,F,Married,10-07-2008,NULL,Active,Admin Offices,Diversity Job Fair,Fully Meets,4.5,2
31,Daniel Harris,65288,Production Technician II,MA,07-08-1983,M ,Single,09-09-2014,NULL,Active,Production       ,Google Search,Fully Meets,3.19,3
32,Tiffany Robinson,64375,Production Technician I,MA,10-03-1969,F,Separated,11-11-2013,NULL,Active,Production       ,Diversity Job Fair,Fully Meets,3.5,5
33,Christopher Wilson,74326,Area Sales Manager,VA,06-01-1964,F,Married,08-05-2011,08-02-2014,Voluntarily Terminated,Sales,Google Search,Fully Meets,3.14,5
34,Rachel Martinez,63763,Production Technician II,MA,03-02-1980,F,Single,03-05-2012,NULL,Active,Production       ,Employee Referral,Fully Meets,4.51,4
35,Nicholas Walker,62162,Production Technician II,MA,08-09-1977,M ,Married,04-04-2011,NULL,Active,Production       ,Indeed,Fully Meets,3.25,5
36,Danielle Turner,77692,Software Engineering Manager,MA,11-02-1966,M ,Single,08-05-2011,NULL,Active,Engineering,Google Search,Fully Meets,3.84,3
37,Matthew Evans,72640,Production Manager,MA,08-09-1983,M ,Single,01-08-2016,NULL,Active,Production       ,Indeed,Exceeds,5,3
38,Christina Allen,93396,Software Engineer,MA,03-03-1900,F,Single,11-11-2013,NULL,Active,Engineering,Indeed,Fully Meets,4.96,4
39,Andrew Davis,52846,Production Technician I,MA,02-02-1983,M ,Single,03-01-2014,NULL,Active,Production       ,LinkedIn,Fully Meets,4.43,3
40,Heather King,100031,Sr. DBA,MA,06-06-1986,F,Single,06-03-2016,NULL,Active,IT/IS,LinkedIn,Fully Meets,5,5
41,Jonathan Thomas,71860,Area Sales Manager,VT,05-05-1963,F,Single,08-08-2014,NULL,Active,Sales,Indeed,Fully Meets,5,5
42,Amy Green,61656,Production Technician I,MA,01-02-1951,F,Single,09-09-2014,NULL,Active,Production       ,Google Search,Fully Meets,5,4
43,Anthony Garcia,110929,BI Director,MA,02-09-1972,M ,Married,09-06-2016,NULL,Active,IT/IS,Indeed,Fully Meets,4.5,5
44,Brittany Baker,54237,Production Technician I,MA,02-12-1979,F,Single,05-12-2014,NULL,Active,Production       ,Indeed,Fully Meets,3.3,4
45,Jason Mitchell,60380,Production Technician I,MA,08-04-1983,M ,Single,07-08-2013,NULL,Active,Production       ,LinkedIn,Fully Meets,3.8,5
46,Rebecca Hernandez,66808,Area Sales Manager,TX,06-11-1970,M ,Single,05-04-2012,NULL,Active,Sales,Employee Referral,Fully Meets,3,5
47,Justin Lewis,64786,Production Technician I,MA,08-07-1983,F,Single,06-07-2011,11-05-2015,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4.3,4
48,Vanessa Hall,64816,Production Technician I,MA,05-01-1988,F,Single,10-03-2011,NULL,Active,Production       ,Indeed,Fully Meets,3.58,5
49,Brian Thompson,68678,IT Support,MA,09-05-1985,M ,Single,09-05-2012,NULL,Active,IT/IS,Indeed,Fully Meets,4.7,3
50,Chelsea Hill,64066,Production Technician II,MA,08-01-1981,F,Married,05-06-2011,01-07-2013,Voluntarily Terminated,Production       ,Google Search,Fully Meets,4.2,5
51,Brandon Young,59369,Production Technician II,MA,11-05-1978,M ,Married,08-03-2010,09-06-2011,Voluntarily Terminated,Production       ,Indeed,Fully Meets,4.2,4
